nb_trawlers,fish_stock,capture,income,price,fleet_maintenance_cost,capital
26,5444.674945356278,40.0,200.0,5.0,520.0,-68380.66807041843
26,5426.586219082373,40.0,200.0,5.0,520.0,-68700.66807041843
26,5405.050883018094,23.17741891132045,200.0,5.0,520.0,-69020.66807041843
26,5402.426384464173,60.0,115.88709455660225,5.0,520.0,-69424.78097586182
26,5374.312530391068,60.0,300.0,5.0,520.0,-69644.78097586182
26,5345.003582498366,27.22942963708629,300.0,5.0,520.0,-69864.78097586182
26,5329.383496751609,52.094251421906286,136.14714818543143,5.0,520.0,-70248.63382767639
26,5281.135247622747,40.0,260.4712571095314,5.0,520.0,-70508.16257056686
26,5257.633194281911,40.0,200.0,5.0,520.0,-70828.16257056686
26,5245.264203095664,32.943449644385595,200.0,5.0,520.0,-71148.16257056686
26,5243.896611724914,60.0,164.71724822192795,5.0,520.0,-71503.44532234492
26,5219.196010194044,80.0,300.0,5.0,520.0,-71723.44532234492
26,5173.686340293468,73.22552941419846,400.0,5.0,520.0,-71843.44532234492
26,5126.773929771685,60.0,366.12764707099234,5.0,520.0,-71997.31767527394
26,5088.624875494251,60.0,300.0,5.0,520.0,-72217.31767527394
26,5060.397241239386,60.0,300.0,5.0,520.0,-72437.31767527394
26,5022.16443358954,43.8131889367309,300.0,5.0,520.0,-72657.31767527394
26,4992.4566632926235,30.218676484919058,219.0659446836545,5.0,520.0,-72958.25173059029
26,4978.830753518258,60.0,151.0933824245953,5.0,520.0,-73327.15834816569
26,4945.01024346808,57.82847953303779,300.0,5.0,520.0,-73547.15834816569
26,4910.6017424735255,45.57082025635545,289.142397665189,5.0,520.0,-73778.0159505005
26,4890.091422390433,52.97770635395144,227.85410128177722,5.0,520.0,-74070.16184921873
26,4862.001134960285,40.0,264.8885317697572,5.0,520.0,-74325.27331744897
26,4842.68125528893,40.0,200.0,5.0,520.0,-74645.27331744897
26,4809.9287826675045,40.0,200.0,5.0,520.0,-74965.27331744897
26,4784.15162962105,53.361530180492245,200.0,5.0,520.0,-75285.27331744897
26,4748.686317517594,60.0,266.8076509024612,5.0,520.0,-75538.46566654652
26,4708.720779739142,51.43602306448585,300.0,5.0,520.0,-75758.46566654652
26,4677.710309474152,60.0,257.18011532242923,5.0,520.0,-76021.2855512241
